sites,lat,long,ele,attributes
ถ้ำบันได (พระประธาน) เขาจ้าว,"12.21'49.01""","99.41'54.59""",72,ม.1 ต.เขาจ้าว อ.ปราณบุรี 
ถ้ำไม่มีชื่อ 1 เขาจ้าว,"12.21'50.84""","99.41'53.30""",129,ม.1 ต.เขาจ้าว อ.ปราณบุรี
ถ้ำดินแดง เขาจ้าว ,"12.21'50.84""","99.41'53.07""",130,ม.1 ต.เขาจ้าว อ.ปราณบุรี
ถ้ำคุณพ่อแก่ฤาษีตาวัว เขาจ้าว,"12.21'53.32""","99.41'51.16""",145,ม.1 ต.เขาจ้าว อ.ปราณบุรี
ถ้ำเสือนอน เขาจ้าว,"12.21'56.47""","99.41'52.12""",105,ม.1 ต.เขาจ้าว อ.ปราณบุรี
ถ้ำขวาน เขาจ้าว,"12.21'54""","99.41'50""",133,ม.1 ต.เขาจ้าว อ.ปราณบุรี
ถ้ำไม่มีชื่อ (ข้างศาลเจ้าพ่อเขาจ้าว) เขาจ้าว,"12.21'48.72""","99.41'55.05""",98,ม.1 ต.เขาจ้าว อ.ปราณบุรี
ถ้ำเงิน เขาจ้าว,"12.21'56.18""","99.41'52.45""",123,ม.1 ต.เขาจ้าว อ.ปราณบุรี
ถ้ำธรณี 1 เขาจ้าว,"12.21'48.62""","99.41'54.12""",84,ม.1 ต.เขาจ้าว อ.ปราณบุรี
ถ้ำธรณี 2 เขาจ้าว,"12.21'48.62""","99.41'54.12""",90,ม.1 ต.เขาจ้าว อ.ปราณบุรี
ถ้ำน้ำหยด เขาจ้าว,"12.21'49.54""","99.41'52.60""",110,ม.1 ต.เขาจ้าว อ.ปราณบุรี
บ้านกระทุ่น,"12.21'10.67""","99.41'51.94""",70,บ้านกระทุ่น ต.เขาจ้าว อ.ปราณบุรี
บ้านโป่งกระสัง,"12.05'50.75""","99.45'27.33""",,บ้านโป่งกระสัง ต.หาดขาม อ.กุยบุรี
ถ้ำภาพเขียน,"12.15'10.51""","99.56'11.84""",,หมู่ 2 บ้านโรงเจ ต.ไร่เก่า อ.สามร้อยยอด
ถ้ำโหว่ หุบตาโคตร,"12.12'1.45""","99.58'10.22""",,อ.กุยบุรี 
บ้านแพรกตะคร้อ (ห้าสิบหุ้น) ,"12.22'49.8""","99.35'38""",,ม.11 บ้านแพรกตะคร้อ ต.บึงนคร อ.หัวหิน
บ้านแพรกตะคร้อ 4 (ห้าสิบหุ้น2) ,"12.22'99.35""","99.35'00.8""",,ม.11 บ้านแพรกตะคร้อ ต.บึงนคร อ.หัวหิน
บ้านพุน้อย,"12.13'54.92""","99.57'49.33""",,ต.สามร้อยยอด อ.สามร้อยยอด
แหล่งภาพเขียนสีไม่มีชื่อ ๑ เขาคอกะพัง,"12.13'14.63""","100.00'05.07""",,อ.สามร้อยยอด
ถ้ำเขาแมว,"12.12'98.29""","99.55'31.76""",,ต.สามร้อยยอด อ.สามร้อยยอด
สุสานหอย,"12.12'06.47""","99.55'32.97""",,ต.สามร้อยยอด อ.สามร้อยยอด
ถ้ำดิน,"12.14'03.04""","99.57'05.72""",,ม.5 บ้านพุน้อย อ.สามร้อยยอด
แหล่งภาพเขียนสี ถ้ำไม่มีชื่อ หุบไร่คา ,"12.16'25.24""","99.56'48.62""",,ต.สามร้อยยอด อ.สามร้อยยอด
แหล่งภาพเขียนสี ถ้ำหัวเขาพัง (เขาคอกะพัง),"12.13'12.58""","99.59'53.83""",,ม.5 บ้านหัวตาลแถว ต.สามร้อยยอด อ.สามร้อยยอด
แหล่งภาพเขียนสี เพิงผาไม่มีชื่อ 1 (หนองข้าวเหนียว) ,"12.16'33.29""","99.57'00.85""",,ม.2 บ้านหนองข้าวเหนียว ต.สามร้อยยอด อ.สามร้อยยอด
บ้านห้วยแร่ 1,,,,
บ้านห้วยแร่ 2,,,,
ถ้ำวิมาน,,,,
เขาสามยอด ,,,,
ถ้ำเขาสามยอด,,,,
หุบผึ้ง,,,,
ถ้ำหุบกระล่อม,,,,
บ้านห้วยหินดำ,,,,
ถ้ำพลูเหม็น,,,,
บ้านป่าละอูบน,,,,
บ้านวังด้วน,,,,
ถ้ำพระธาตุ,,,,
